gene	cell_type	n_ad_with_reads	n_ct_with_reads	n_ad_total	n_ct_total	jackknife_max_change_ratio	jackknife_worst_donor	direction_consistency	dominant_isoform	verdict	note
OSER1	Excitatory_neuron	10	7	13	8	0.0577	SMC049	0.8	OSER1-201	PASS	
OSTF1	Excitatory_neuron	12	8	13	8	0.1776	PO28	0.9167	transcript144332.chr9.nnic	PASS	
OSTM1	Excitatory_neuron	8	4	13	8	0.8557	SMC049	0.75	OSTM1-216	FAIL	Jackknife 0.86 ≥ 0.5
OTUD5	Excitatory_neuron	10	7	13	8	0.7938	SMC038	0.2	transcript53255.chrX.nnic	FAIL	Jackknife 0.79 ≥ 0.5; Direction 0.20 < 0.6
OTULIN	Excitatory_neuron	4	6	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=6/4
OXA1L	Excitatory_neuron	11	6	13	8	0.0993	SMC041	0.6364	OXA1L-212	PASS	
OXNAD1	Excitatory_neuron	8	8	13	8	0.1502	PO11	0.75	OXNAD1-203	PASS	
OXR1	Excitatory_neuron	12	8	13	8	0.2926	SMC049	0.5	OXR1-205	FAIL	Direction 0.50 < 0.6
P2RX7	Excitatory_neuron	12	8	13	8	0.3297	SMC036	0.6667	P2RX7-202	PASS	
P3H1	Excitatory_neuron	9	6	13	8	1.571	SMC041	0.3333	P3H1-214	FAIL	Jackknife 1.57 ≥ 0.5; Direction 0.33 < 0.6
P4HA2	Excitatory_neuron	8	5	13	8	0.2667	SMC049	0.75	P4HA2-201	PASS	
P4HB	Excitatory_neuron	13	8	13	8	0.4053	SMC038	0.3846	P4HB-220	FAIL	Direction 0.38 < 0.6
P4HTM	Excitatory_neuron	13	8	13	8	0.4873	SMC049	0.6923	P4HTM-205	PASS	
PABIR2	Excitatory_neuron	8	5	13	8	0.6969	SMC041	0.5	transcript149386.chrX.nnic	FAIL	Jackknife 0.70 ≥ 0.5; Direction 0.50 < 0.6
PABPC1	Excitatory_neuron	11	8	13	8	0.2092	PO11	0.5455	PABPC1-237	FAIL	Direction 0.55 < 0.6
PABPC4	Excitatory_neuron	11	6	13	8	0.0		1.0	PABPC4-231	PASS	
PACS1	Excitatory_neuron	9	7	13	8	0.2582	SMC038	0.4444	PACS1-205	FAIL	Direction 0.44 < 0.6
PACS2	Excitatory_neuron	11	8	13	8	0.3321	SMC038	0.7273	transcript124956.chr14.nic	PASS	
PACSIN2	Excitatory_neuron	10	7	13	8	0.321	PO28	0.5	PACSIN2-202	FAIL	Direction 0.50 < 0.6
PAFAH1B1	Excitatory_neuron	10	7	13	8	1.0673	SMC038	0.6	PAFAH1B1-202	FAIL	Jackknife 1.07 ≥ 0.5
PAIP1	Excitatory_neuron	10	6	13	8	0.6673	PO28	0.5	PAIP1-202	FAIL	Jackknife 0.67 ≥ 0.5; Direction 0.50 < 0.6
PAK1	Excitatory_neuron	13	8	13	8	0.1175	PO41	0.5385	PAK1-215	FAIL	Direction 0.54 < 0.6
PAK3	Excitatory_neuron	13	8	13	8	0.4421	SMC038	0.7692	PAK3-206	PASS	
PAK5	Excitatory_neuron	12	7	13	8	0.5783	SMC038	0.6667	transcript15628.chr20.nic	FAIL	Jackknife 0.58 ≥ 0.5
PAK6	Excitatory_neuron	10	6	13	8	0.5403	SMC049	0.4	PAK6-205	FAIL	Jackknife 0.54 ≥ 0.5; Direction 0.40 < 0.6
PALM2AKAP2	Excitatory_neuron	10	7	13	8	0.8087	SMC041	0.4	PALM2AKAP2-203	FAIL	Jackknife 0.81 ≥ 0.5; Direction 0.40 < 0.6
PALS1	Excitatory_neuron	10	6	13	8	0.1289	PO41	0.9	PALS1-201	PASS	
PALS2	Excitatory_neuron	11	8	13	8	0.5818	SMC041	0.8182	PALS2-201	FAIL	Jackknife 0.58 ≥ 0.5
PAM	Excitatory_neuron	11	6	13	8	0.5336	SMC029	0.6364	PAM-220	FAIL	Jackknife 0.53 ≥ 0.5
PAN2	Excitatory_neuron	10	8	13	8	0.3568	SMC049	0.4	PAN2-203	FAIL	Direction 0.40 < 0.6
PAPOLA	Excitatory_neuron	12	8	13	8	0.3468	SMC049	0.5	PAPOLA-201	FAIL	Direction 0.50 < 0.6
PAPOLG	Excitatory_neuron	11	7	13	8	0.3284	PO28	0.9091	PAPOLG-201	PASS	
PAQR3	Excitatory_neuron	7	6	13	8	0.0694	SMC032	1.0	PAQR3-209	PASS	
PARD6A	Excitatory_neuron	7	7	13	8	0.0894	SMC049	0.7143	transcript103760.chr16.nnic	PASS	
PARK7	Excitatory_neuron	10	7	13	8	0.0872	SMC049	0.9	PARK7-201	PASS	
PARM1	Excitatory_neuron	10	8	13	8	0.3375	PO42	0.2	PARM1-201	FAIL	Direction 0.20 < 0.6
PARN	Excitatory_neuron	10	5	13	8	0.0338	SMC049	0.9	PARN-234	PASS	
PARP1	Excitatory_neuron	11	7	13	8	0.4271	SMC032	0.6364	PARP1-203	PASS	
PARP2	Excitatory_neuron	12	8	13	8	0.2123	SMC049	0.6667	PARP2-202	PASS	
PARP8	Excitatory_neuron	11	6	13	8	0.4063	PO41	0.4545	transcript71414.chr5.nic	FAIL	Direction 0.45 < 0.6
PARVA	Excitatory_neuron	11	7	13	8	0.0631	PO28	1.0	PARVA-204	PASS	
PATJ	Excitatory_neuron	11	8	13	8	0.2074	PO05	0.6364	PATJ-206	PASS	
PAX8-AS1	Excitatory_neuron	6	4	13	8	2.3045	SMC043	0.3333	PAX8-AS1-213	FAIL	Jackknife 2.30 ≥ 0.5; Direction 0.33 < 0.6
PAXBP1	Excitatory_neuron	11	7	13	8	0.1526	PO42	0.6364	PAXBP1-206	PASS	
PCBP4	Excitatory_neuron	11	7	13	8	0.1258	SMC039	0.7273	PCBP4-201	PASS	
PCDH10	Excitatory_neuron	12	8	13	8	0.3142	PO28	0.75	PCDH10-201	PASS	
PCDH11X	Excitatory_neuron	13	8	13	8	0.6344	PO05	0.3077	PCDH11X-201	FAIL	Jackknife 0.63 ≥ 0.5; Direction 0.31 < 0.6
PCDH11Y	Excitatory_neuron	6	8	13	8	0.5522	PO11	0.3333	PCDH11Y-208	FAIL	Jackknife 0.55 ≥ 0.5; Direction 0.33 < 0.6
PCDH19	Excitatory_neuron	10	8	13	8	0.1911	PO11	0.6	PCDH19-203	PASS	
PCDH7	Excitatory_neuron	10	8	13	8	0.6758	SMC032	0.2	PCDH7-212	FAIL	Jackknife 0.68 ≥ 0.5; Direction 0.20 < 0.6
PCDH8	Excitatory_neuron	8	5	13	8	0.7426	SMC032	0.375	PCDH8-201	FAIL	Jackknife 0.74 ≥ 0.5; Direction 0.38 < 0.6
PCDH9	Excitatory_neuron	13	8	13	8	0.1732	PO41	0.6923	PCDH9-204	PASS	
PCDHA11	Excitatory_neuron	9	7	13	8	0.5587	SMC038	0.4444	PCDHA11-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.44 < 0.6
PCDHA4	Excitatory_neuron	10	8	13	8	1.2289	PO28	0.6	PCDHA4-203	FAIL	Jackknife 1.23 ≥ 0.5
PCDHA6	Excitatory_neuron	10	8	13	8	0.2399	SMC041	0.8	PCDHA6-203	PASS	
PCDHA9	Excitatory_neuron	8	7	13	8	0.473	PO28	0.875	PCDHA9-202	PASS	
PCDHAC2	Excitatory_neuron	12	8	13	8	0.4422	SMC038	0.75	PCDHAC2-203	PASS	
PCDHB3	Excitatory_neuron	9	7	13	8	1.0	PO28	0.1111	transcript184410.chr5.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.11 < 0.6
PCDHB9	Excitatory_neuron	8	7	13	8	1.0	SMC038	0.125	transcript184661.chr5.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.12 < 0.6
PCDHGA6	Excitatory_neuron	10	7	13	8	0.0617	SMC049	0.9	PCDHGA6-201	PASS	
PCDHGC4	Excitatory_neuron	7	6	13	8	0.4509	SMC041	0.2857	PCDHGC4-201	FAIL	Direction 0.29 < 0.6
PCDHGC5	Excitatory_neuron	11	7	13	8	0.2479	SMC041	0.6364	PCDHGC5-202	PASS	
PCF11	Excitatory_neuron	11	7	13	8	0.6359	SMC049	0.3636	PCF11-201	FAIL	Jackknife 0.64 ≥ 0.5; Direction 0.36 < 0.6
PCGF3	Excitatory_neuron	12	7	13	8	0.2513	PO28	0.5833	PCGF3-213	FAIL	Direction 0.58 < 0.6
PCGF5	Excitatory_neuron	11	8	13	8	0.4452	SMC032	0.3636	transcript164095.chr10.nnic	FAIL	Direction 0.36 < 0.6
PCGF6	Excitatory_neuron	12	6	13	8	0.2296	PO28	0.8333	transcript185864.chr10.nic	PASS	
PCID2	Excitatory_neuron	11	8	13	8	0.0		1.0	transcript110596.chr13.nnic	PASS	
PCLO	Excitatory_neuron	12	8	13	8	0.2667	PO41	0.9167	PCLO-201	PASS	
PCM1	Excitatory_neuron	13	8	13	8	0.1354	PO41	0.9231	PCM1-201	PASS	
PCMTD1	Excitatory_neuron	8	8	13	8	0.0		1.0	PCMTD1-208	PASS	
PCMTD2	Excitatory_neuron	12	8	13	8	1.5975	SMC049	0.3333	PCMTD2-204	FAIL	Jackknife 1.60 ≥ 0.5; Direction 0.33 < 0.6
PCNP	Excitatory_neuron	12	8	13	8	0.6634	SMC049	0.5	PCNP-202	FAIL	Jackknife 0.66 ≥ 0.5; Direction 0.50 < 0.6
PCNT	Excitatory_neuron	13	8	13	8	0.4055	SMC039	0.7692	PCNT-204	PASS	
PCNX2	Excitatory_neuron	13	8	13	8	1.0495	SMC041	0.2308	PCNX2-203	FAIL	Jackknife 1.05 ≥ 0.5; Direction 0.23 < 0.6
PCNX4	Excitatory_neuron	10	7	13	8	0.1834	SMC049	1.0	PCNX4-201	PASS	
PCSK2	Excitatory_neuron	10	7	13	8	0.2973	SMC049	1.0	PCSK2-205	PASS	
PCSK6	Excitatory_neuron	4	5	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=5/4
PCSK7	Excitatory_neuron	11	8	13	8	0.6543	SMC049	0.2727	PCSK7-214	FAIL	Jackknife 0.65 ≥ 0.5; Direction 0.27 < 0.6
PCYOX1L	Excitatory_neuron	12	8	13	8	0.329	SMC041	0.75	PCYOX1L-201	PASS	
PCYT1A	Excitatory_neuron	7	6	13	8	0.0467	SMC049	1.0	PCYT1A-212	PASS	
PDCD10	Excitatory_neuron	10	7	13	8	0.0415	PO28	1.0	transcript271765.chr3.nic	PASS	
PDCD11	Excitatory_neuron	10	6	13	8	0.4877	PO28	0.5	PDCD11-201	FAIL	Direction 0.50 < 0.6
PDCD2	Excitatory_neuron	6	5	13	8	0.1383	SMC029	0.6667	PDCD2-204	PASS	
PDCD4	Excitatory_neuron	10	7	13	8	0.4326	SMC049	0.4	PDCD4-201	FAIL	Direction 0.40 < 0.6
PDCD6IP	Excitatory_neuron	11	7	13	8	1.7689	SMC038	0.3636	PDCD6IP-201	FAIL	Jackknife 1.77 ≥ 0.5; Direction 0.36 < 0.6
PDE10A	Excitatory_neuron	11	7	13	8	0.4409	SMC049	0.5455	PDE10A-223	FAIL	Direction 0.55 < 0.6
PDE12	Excitatory_neuron	12	8	13	8	0.4053	SMC049	0.5	PDE12-202	FAIL	Direction 0.50 < 0.6
PDE1A	Excitatory_neuron	10	6	13	8	0.0369	PO41	0.9	PDE1A-208	PASS	
PDE2A	Excitatory_neuron	9	7	13	8	0.7554	SMC049	0.6667	PDE2A-226	FAIL	Jackknife 0.76 ≥ 0.5
PDE4D	Excitatory_neuron	11	6	13	8	1.0	PO41	0.0909	transcript85400.chr5.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.09 < 0.6
PDE4DIP	Excitatory_neuron	11	8	13	8	0.6044	SMC049	0.4545	PDE4DIP-262	FAIL	Jackknife 0.60 ≥ 0.5; Direction 0.45 < 0.6
PDE7A	Excitatory_neuron	11	6	13	8	0.182	SMC039	0.7273	PDE7A-203	PASS	
PDE7B	Excitatory_neuron	9	6	13	8	0.6406	SMC032	0.4444	transcript188580.chr6.nnic	FAIL	Jackknife 0.64 ≥ 0.5; Direction 0.44 < 0.6
PDIA3	Excitatory_neuron	11	8	13	8	0.0611	SMC049	0.8182	PDIA3-216	PASS	
PDIA4	Excitatory_neuron	9	7	13	8	0.9974	SMC049	0.7778	PDIA4-204	FAIL	Jackknife 1.00 ≥ 0.5
PDIK1L	Excitatory_neuron	10	7	13	8	0.024	SMC038	1.0	PDIK1L-202	PASS	
PDK2	Excitatory_neuron	12	8	13	8	0.237	SMC049	0.75	PDK2-203	PASS	
PDK3	Excitatory_neuron	9	7	13	8	0.1202	SMC049	0.8889	PDK3-202	PASS	
PDP1	Excitatory_neuron	11	7	13	8	0.3878	SMC038	0.5455	PDP1-203	FAIL	Direction 0.55 < 0.6
PDS5B	Excitatory_neuron	13	8	13	8	0.7055	SMC041	0.8462	PDS5B-201	FAIL	Jackknife 0.71 ≥ 0.5
PDXDC1	Excitatory_neuron	11	7	13	8	1.1393	SMC038	0.5455	PDXDC1-201	FAIL	Jackknife 1.14 ≥ 0.5; Direction 0.55 < 0.6
PDXP	Excitatory_neuron	9	6	13	8	1.0	SMC049	0.1111	transcript42912.chr22.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.11 < 0.6
PDZD7	Excitatory_neuron	11	8	13	8	0.3085	SMC049	0.7273	PDZD7-208	PASS	
PDZD8	Excitatory_neuron	13	6	13	8	0.4788	PO11	0.6154	PDZD8-201	PASS	
PDZRN3	Excitatory_neuron	10	7	13	8	0.2702	SMC038	0.4	PDZRN3-201	FAIL	Direction 0.40 < 0.6
PDZRN4	Excitatory_neuron	10	7	13	8	0.2602	PO41	0.8	PDZRN4-203	PASS	
PEA15	Excitatory_neuron	9	6	13	8	1.061	SMC049	0.5556	transcript247141.chr1.nnic	FAIL	Jackknife 1.06 ≥ 0.5; Direction 0.56 < 0.6
PEAK1	Excitatory_neuron	8	7	13	8	1.4285	SMC049	0.5	PEAK1-205	FAIL	Jackknife 1.43 ≥ 0.5; Direction 0.50 < 0.6
PEG10	Excitatory_neuron	10	5	13	8	0.2051	SMC049	0.8	transcript134425.chr7.nnic	PASS	
PER2	Excitatory_neuron	10	6	13	8	1.1027	SMC041	0.1	transcript405618.chr2.nic	FAIL	Jackknife 1.10 ≥ 0.5; Direction 0.10 < 0.6
PER3	Excitatory_neuron	12	8	13	8	0.7162	PO28	0.5	transcript14612.chr1.nic	FAIL	Jackknife 0.72 ≥ 0.5; Direction 0.50 < 0.6
PEX12	Excitatory_neuron	9	7	13	8	0.0928	SMC049	1.0	PEX12-201	PASS	
PEX26	Excitatory_neuron	8	6	13	8	0.255	SMC049	0.875	PEX26-201	PASS	
PEX3	Excitatory_neuron	9	7	13	8	0.6209	SMC049	0.2222	transcript194635.chr6.nic	FAIL	Jackknife 0.62 ≥ 0.5; Direction 0.22 < 0.6
PEX5	Excitatory_neuron	8	5	13	8	0.7361	SMC038	0.625	PEX5-221	FAIL	Jackknife 0.74 ≥ 0.5
PEX5L	Excitatory_neuron	10	6	13	8	0.1336	SMC049	0.7	PEX5L-215	PASS	
PEX6	Excitatory_neuron	7	5	13	8	0.352	PO28	0.8571	transcript57358.chr6.nic	PASS	
PFDN5	Excitatory_neuron	11	8	13	8	0.2778	PO42	0.6364	PFDN5-209	PASS	
PFKFB2	Excitatory_neuron	8	6	13	8	0.1746	SMC049	0.75	PFKFB2-201	PASS	
PFKFB3	Excitatory_neuron	8	5	13	8	0.2447	PO11	0.875	PFKFB3-202	PASS	
PFKM	Excitatory_neuron	10	7	13	8	1.8239	SMC049	0.5	PFKM-203	FAIL	Jackknife 1.82 ≥ 0.5; Direction 0.50 < 0.6
PFKP	Excitatory_neuron	11	7	13	8	0.8179	SMC049	0.3636	PFKP-206	FAIL	Jackknife 0.82 ≥ 0.5; Direction 0.36 < 0.6
PFN2	Excitatory_neuron	11	8	13	8	0.3918	SMC049	0.8182	PFN2-203	PASS	
PGAP3	Excitatory_neuron	11	6	13	8	3.8355	SMC038	0.6364	PGAP3-202	FAIL	Jackknife 3.84 ≥ 0.5
PGM3	Excitatory_neuron	9	7	13	8	1.0294	SMC049	0.2222	PGM3-249	FAIL	Jackknife 1.03 ≥ 0.5; Direction 0.22 < 0.6
PGS1	Excitatory_neuron	11	8	13	8	0.4419	SMC049	0.6364	PGS1-201	PASS	
PHACTR1	Excitatory_neuron	11	8	13	8	0.1245	SMC049	0.7273	PHACTR1-205	PASS	
PHACTR3	Excitatory_neuron	12	8	13	8	0.8078	SMC049	0.5833	PHACTR3-204	FAIL	Jackknife 0.81 ≥ 0.5; Direction 0.58 < 0.6
PHACTR4	Excitatory_neuron	10	6	13	8	0.2381	PO42	0.7	PHACTR4-202	PASS	
PHB2	Excitatory_neuron	12	8	13	8	0.1153	SMC049	0.9167	PHB2-220	PASS	
PHC2	Excitatory_neuron	7	5	13	8	0.1381	SMC041	0.5714	PHC2-202	FAIL	Direction 0.57 < 0.6
PHC3	Excitatory_neuron	11	7	13	8	0.1646	SMC049	0.8182	PHC3-214	PASS	
PHF12	Excitatory_neuron	10	8	13	8	0.355	SMC038	0.6	PHF12-209	PASS	
PHF14	Excitatory_neuron	9	7	13	8	0.6932	PO28	0.5556	PHF14-216	FAIL	Jackknife 0.69 ≥ 0.5; Direction 0.56 < 0.6
PHF20L1	Excitatory_neuron	12	7	13	8	0.1437	SMC049	0.9167	transcript183823.chr8.nnic	PASS	
PHF21A	Excitatory_neuron	11	7	13	8	0.6817	SMC041	0.1818	PHF21A-207	FAIL	Jackknife 0.68 ≥ 0.5; Direction 0.18 < 0.6
PHF3	Excitatory_neuron	13	8	13	8	0.5831	PO28	0.4615	PHF3-204	FAIL	Jackknife 0.58 ≥ 0.5; Direction 0.46 < 0.6
PHF6	Excitatory_neuron	8	5	13	8	0.0845	SMC049	1.0	PHF6-206	PASS	
PHF8	Excitatory_neuron	10	6	13	8	0.0922	SMC049	1.0	PHF8-203	PASS	
PHIP	Excitatory_neuron	12	8	13	8	1.1947	SMC049	0.3333	PHIP-202	FAIL	Jackknife 1.19 ≥ 0.5; Direction 0.33 < 0.6
PHKB	Excitatory_neuron	9	8	13	8	1.422	SMC049	0.7778	PHKB-210	FAIL	Jackknife 1.42 ≥ 0.5
PHKG2	Excitatory_neuron	10	7	13	8	1.3256	SMC049	0.1	PHKG2-207	FAIL	Jackknife 1.33 ≥ 0.5; Direction 0.10 < 0.6
PHLDB2	Excitatory_neuron	11	7	13	8	0.2373	SMC041	0.3636	PHLDB2-214	FAIL	Direction 0.36 < 0.6
PHRF1	Excitatory_neuron	10	8	13	8	1.0	SMC049	0.1	PHRF1-206	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.10 < 0.6
PHTF2	Excitatory_neuron	10	7	13	8	0.0		1.0	PHTF2-205	PASS	
PHYHIP	Excitatory_neuron	11	8	13	8	1.0556	PO28	0.2727	PHYHIP-201	FAIL	Jackknife 1.06 ≥ 0.5; Direction 0.27 < 0.6
PI4KA	Excitatory_neuron	12	8	13	8	0.4282	PO28	0.3333	PI4KA-201	FAIL	Direction 0.33 < 0.6
PI4KAP1	Excitatory_neuron	7	4	13	8	0.0		1.0	PI4KAP1-203	PASS	
PI4KB	Excitatory_neuron	11	8	13	8	0.3026	SMC049	0.9091	PI4KB-204	PASS	
PIAS2	Excitatory_neuron	11	8	13	8	0.7143	PO41	0.5455	PIAS2-204	FAIL	Jackknife 0.71 ≥ 0.5; Direction 0.55 < 0.6
PICK1	Excitatory_neuron	12	8	13	8	1.0756	SMC049	0.1667	PICK1-201	FAIL	Jackknife 1.08 ≥ 0.5; Direction 0.17 < 0.6
PIGC	Excitatory_neuron	11	8	13	8	0.8753	SMC049	0.5455	PIGC-202	FAIL	Jackknife 0.88 ≥ 0.5; Direction 0.55 < 0.6
PIGG	Excitatory_neuron	11	7	13	8	1.0792	SMC038	0.2727	PIGG-223	FAIL	Jackknife 1.08 ≥ 0.5; Direction 0.27 < 0.6
PIGK	Excitatory_neuron	9	6	13	8	0.3323	SMC032	0.6667	PIGK-202	PASS	
PIGO	Excitatory_neuron	9	6	13	8	0.0836	PO42	0.8889	PIGO-202	PASS	
PIGQ	Excitatory_neuron	12	8	13	8	0.4365	SMC049	0.6667	PIGQ-203	PASS	
PIGT	Excitatory_neuron	12	8	13	8	0.4341	SMC049	0.6667	PIGT-202	PASS	
PIGU	Excitatory_neuron	8	6	13	8	0.4935	SMC049	0.625	transcript41581.chr20.nic	PASS	
PIGV	Excitatory_neuron	8	7	13	8	1.15	SMC049	0.125	transcript51013.chr1.nic	FAIL	Jackknife 1.15 ≥ 0.5; Direction 0.12 < 0.6
PIK3C3	Excitatory_neuron	11	8	13	8	0.4484	PO41	0.4545	PIK3C3-215	FAIL	Direction 0.45 < 0.6
PIK3CA	Excitatory_neuron	10	7	13	8	0.8411	SMC049	0.2	transcript288617.chr3.nnic	FAIL	Jackknife 0.84 ≥ 0.5; Direction 0.20 < 0.6
PIK3CD	Excitatory_neuron	7	5	13	8	0.4096	PO28	0.7143	PIK3CD-219	PASS	
PIK3R1	Excitatory_neuron	13	8	13	8	0.1537	SMC049	0.8462	PIK3R1-211	PASS	
PIKFYVE	Excitatory_neuron	13	8	13	8	0.1365	PO11	0.8462	PIKFYVE-207	PASS	
PIN1	Excitatory_neuron	12	8	13	8	0.5193	SMC038	0.5	PIN1-204	FAIL	Jackknife 0.52 ≥ 0.5; Direction 0.50 < 0.6
PINX1	Excitatory_neuron	10	8	13	8	0.3765	PO28	0.8	transcript40216.chr8.nic	PASS	
PIP4K2B	Excitatory_neuron	10	5	13	8	1.0	SMC039	0.1	transcript65820.chr17.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.10 < 0.6
PIP5K1A	Excitatory_neuron	11	6	13	8	0.394	SMC039	0.5455	PIP5K1A-201	FAIL	Direction 0.55 < 0.6
PIP5K1C	Excitatory_neuron	10	6	13	8	0.1591	SMC049	0.5	PIP5K1C-201	FAIL	Direction 0.50 < 0.6
PISD	Excitatory_neuron	12	8	13	8	0.2474	SMC038	0.6667	PISD-202	PASS	
PITPNM1	Excitatory_neuron	9	5	13	8	0.3298	SMC039	0.6667	PITPNM1-209	PASS	
PITRM1	Excitatory_neuron	11	8	13	8	0.3925	SMC041	0.5455	PITRM1-201	FAIL	Direction 0.55 < 0.6
PKD1	Excitatory_neuron	12	8	13	8	0.2835	SMC041	0.9167	PKD1-201	PASS	
PKD2	Excitatory_neuron	9	7	13	8	0.1038	PO42	1.0	PKD2-201	PASS	
PKD2L2-DT	Excitatory_neuron	9	6	13	8	0.1146	SMC032	0.7778	PKD2L2-DT-202	PASS	
PKIA	Excitatory_neuron	6	7	13	8	0.1646	SMC049	0.8333	transcript124435.chr8.nnic	PASS	
PKNOX2	Excitatory_neuron	11	3	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=11/5, CT=3/4
PKP4	Excitatory_neuron	10	7	13	8	0.101	SMC049	0.8	PKP4-202	PASS	
PLA2G15	Excitatory_neuron	8	6	13	8	1.2448	SMC038	0.125	PLA2G15-201	FAIL	Jackknife 1.24 ≥ 0.5; Direction 0.12 < 0.6
PLA2G4C	Excitatory_neuron	10	7	13	8	0.6213	SMC049	0.7	PLA2G4C-222	FAIL	Jackknife 0.62 ≥ 0.5
PLAA	Excitatory_neuron	8	6	13	8	0.5985	SMC049	0.5	PLAA-205	FAIL	Jackknife 0.60 ≥ 0.5; Direction 0.50 < 0.6
PLAT	Excitatory_neuron	9	4	13	8	0.0735	SMC049	0.8889	PLAT-202	PASS	
PLCB1	Excitatory_neuron	11	8	13	8	0.239	PO28	0.9091	PLCB1-201	PASS	
PLCB4	Excitatory_neuron	8	7	13	8	0.4193	PO28	0.5	PLCB4-240	FAIL	Direction 0.50 < 0.6
PLCG1	Excitatory_neuron	8	8	13	8	0.4845	SMC041	0.875	PLCG1-202	PASS	
PLCH1	Excitatory_neuron	9	6	13	8	0.396	PO05	0.6667	PLCH1-206	PASS	
PLCH2	Excitatory_neuron	11	8	13	8	0.606	SMC038	0.4545	PLCH2-205	FAIL	Jackknife 0.61 ≥ 0.5; Direction 0.45 < 0.6
PLD3	Excitatory_neuron	12	8	13	8	0.4732	SMC049	0.75	PLD3-201	PASS	
PLD6	Excitatory_neuron	8	4	13	8	1.0	SMC038	0.125	transcript27963.chr17.nnic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.12 < 0.6
PLEC	Excitatory_neuron	8	8	13	8	0.0		1.0	transcript199651.chr8.nnic	PASS	
PLEKHA1	Excitatory_neuron	11	8	13	8	0.8594	SMC032	0.3636	PLEKHA1-207	FAIL	Jackknife 0.86 ≥ 0.5; Direction 0.36 < 0.6
PLEKHA5	Excitatory_neuron	13	8	13	8	0.0798	SMC049	0.7692	PLEKHA5-225	PASS	
PLEKHB1	Excitatory_neuron	12	8	13	8	0.0383	PO28	0.9167	PLEKHB1-204	PASS	
PLEKHB2	Excitatory_neuron	13	8	13	8	0.0658	SMC049	1.0	PLEKHB2-204	PASS	
PLEKHG1	Excitatory_neuron	6	5	13	8	0.7045	SMC041	0.3333	PLEKHG1-209	FAIL	Jackknife 0.70 ≥ 0.5; Direction 0.33 < 0.6
PLEKHJ1	Excitatory_neuron	11	6	13	8	0.2489	SMC049	0.8182	PLEKHJ1-208	PASS	
PLP1	Excitatory_neuron	13	8	13	8	0.2552	SMC039	0.6923	PLP1-221	PASS	
PLPPR1	Excitatory_neuron	10	7	13	8	0.1939	PO28	0.6	transcript176166.chr9.nic	PASS	
PLPPR4	Excitatory_neuron	10	6	13	8	0.7656	SMC049	0.4	PLPPR4-201	FAIL	Jackknife 0.77 ≥ 0.5; Direction 0.40 < 0.6
PLSCR1	Excitatory_neuron	9	6	13	8	0.1951	PO28	0.7778	transcript251385.chr3.nic	PASS	
PLXDC1	Excitatory_neuron	9	7	13	8	0.0		1.0	PLXDC1-213	PASS	
PLXNA1	Excitatory_neuron	10	8	13	8	0.2899	SMC041	0.6	PLXNA1-202	PASS	
PLXNA2	Excitatory_neuron	12	8	13	8	0.0894	PO28	0.9167	PLXNA2-201	PASS	
PLXNA4	Excitatory_neuron	8	5	13	8	0.0		1.0	PLXNA4-201	PASS	
PLXNB1	Excitatory_neuron	8	6	13	8	0.0		1.0	PLXNB1-202	PASS	
PLXNB2	Excitatory_neuron	9	8	13	8	0.1829	SMC038	0.8889	PLXNB2-201	PASS	
PMM1	Excitatory_neuron	12	7	13	8	0.0997	SMC049	0.5	PMM1-201	FAIL	Direction 0.50 < 0.6
PMP22	Excitatory_neuron	11	7	13	8	0.0751	SMC049	0.9091	PMP22-201	PASS	
PMPCA	Excitatory_neuron	11	8	13	8	0.3606	SMC049	0.6364	PMPCA-201	PASS	
PMPCB	Excitatory_neuron	10	8	13	8	0.772	SMC049	0.4	PMPCB-205	FAIL	Jackknife 0.77 ≥ 0.5; Direction 0.40 < 0.6
PMS2	Excitatory_neuron	9	7	13	8	0.4319	SMC049	0.6667	PMS2-201	PASS	
PNISR	Excitatory_neuron	13	8	13	8	0.3412	PO41	0.3846	PNISR-202	FAIL	Direction 0.38 < 0.6
PNKD	Excitatory_neuron	8	6	13	8	0.9921	PO28	0.625	PNKD-203	FAIL	Jackknife 0.99 ≥ 0.5
PNMA3	Excitatory_neuron	10	7	13	8	0.438	PO28	0.8	PNMA3-202	PASS	
PNMA5	Excitatory_neuron	8	6	13	8	1.5574	SMC038	0.875	PNMA5-201	FAIL	Jackknife 1.56 ≥ 0.5
PNPLA4	Excitatory_neuron	9	6	13	8	1.0654	PO41	0.1111	PNPLA4-203	FAIL	Jackknife 1.07 ≥ 0.5; Direction 0.11 < 0.6
